Citizenship,Admission_Status,Outstanding_Loans,Academic_Performance,Field_of_Study,Year_of_Study,Family_Income,Number_of_Dependents,Orphan,Parents_Disability,Eligible
0,1,0,4.2874335532717,Health Sciences,4,486908.7268939398,4,0,1,0
0,1,0,3.502607374212091,Business,2,294581.75965557544,0,0,0,0
1,1,0,3.365042908689899,Business,4,245495.9844568122,2,1,1,1
1,1,0,3.493695251657491,Humanities,2,222123.79472929123,0,0,0,1
1,1,0,4.0798195980956,Health Sciences,4,381146.2753801697,1,0,0,1
1,1,1,3.184091949011603,Business,1,244134.02588759316,5,0,0,0
1,1,0,3.290104546692446,Humanities,4,237431.63264359275,3,0,0,1
1,1,0,3.8590930297385624,Business,2,522747.088829953,2,0,0,0
1,1,0,3.344236642682303,Business,1,230984.66131364493,6,0,0,1
0,1,0,2.9675953184901047,Business,3,499280.86610911926,2,0,0,0
1,0,0,3.478040732684682,STEM,4,187677.8757326568,2,0,0,0
1,1,0,3.0330044122196176,STEM,3,237263.41480516634,1,0,0,1
1,1,1,3.5416101686134045,Humanities,3,294083.00310320297,3,0,0,0
1,0,1,3.320430060448735,Humanities,3,122026.85941147944,1,1,0,0
1,1,0,3.4413825934216913,Health Sciences,1,295197.5469533299,3,0,1,1
1,1,0,3.189949931168741,Business,4,391753.7216809156,1,1,0,1
1,1,0,3.9024899915546927,Business,3,69926.47697511117,6,0,0,1
1,1,0,3.6401911654985772,STEM,2,486295.5386333338,4,0,0,1
1,1,0,3.4378139826802774,Health Sciences,2,457446.8235628931,1,0,0,1
1,1,0,3.190045301971159,Health Sciences,3,246240.62545037057,3,0,0,1
1,1,0,3.2849697076144033,STEM,1,301351.94864280807,1,0,1,1
1,1,1,3.3152830531013766,STEM,4,179455.2073708746,0,0,0,0
1,1,1,3.346870671078842,Health Sciences,3,230024.65969075053,0,0,0,0
1,1,0,3.8391803241207314,Business,2,161430.9859553025,2,0,0,1
1,0,0,3.0816821131195726,STEM,3,214641.17409035578,2,0,0,0
1,1,0,3.4300911607083364,Health Sciences,2,288455.0759634854,5,0,0,1
1,1,0,3.4431733373360918,Humanities,1,488940.22458492464,7,0,0,1
1,1,0,3.924396957147083,STEM,1,308787.7616568404,1,0,0,1
1,1,0,4.001967587460217,Health Sciences,4,232367.74319395615,6,0,0,1
0,1,0,3.735379297869882,Humanities,4,103898.72225342343,4,0,0,0
1,0,0,4.029370288874117,STEM,4,137236.57919688683,6,1,0,0
1,1,0,3.791526417081669,STEM,2,248139.90864531076,3,0,0,1
0,1,0,3.5328898334290657,Humanities,4,468344.87513107253,3,0,0,0
1,1,0,4.304738838898583,STEM,4,567517.1411839556,3,0,0,0
1,1,0,3.235896417785815,STEM,2,547789.4542257476,1,0,0,0
1,0,0,3.7831034404653052,STEM,4,321127.1030115916,1,0,0,0
1,1,1,3.210128337284371,Business,4,197320.69535757267,1,0,0,0
1,1,1,3.015311134545603,Health Sciences,1,246280.26023920835,5,0,0,0
1,1,0,4.077128364434232,Health Sciences,3,171449.23493265128,3,0,0,1
1,1,1,3.515339592113413,Humanities,1,434304.18044162774,3,0,0,0
1,1,0,4.256961724677533,Business,2,128449.63970101012,5,0,0,1
1,1,0,4.089848120735171,STEM,4,205111.79825858134,2,0,0,1
1,1,0,3.601938907466076,STEM,3,201469.1839213038,2,0,0,1
1,1,0,3.556608406423269,STEM,1,174289.43699638167,1,0,0,1
1,1,0,4.717341017193251,Humanities,4,385169.3029767582,2,0,0,1
1,1,0,3.5293879371420758,Humanities,1,370384.78267416754,5,0,0,1
1,1,1,2.468863885296839,Humanities,3,160558.67330054892,5,0,0,0
1,1,0,4.1391114051118265,Health Sciences,1,188405.110086593,4,0,0,1
1,1,0,3.9503386479130898,Health Sciences,3,298481.94123707607,4,0,0,1
1,1,0,3.7542833828067756,STEM,1,155777.43018096394,4,0,0,1
1,1,0,3.489098606932185,STEM,4,276963.72652821767,2,1,0,1
1,1,0,3.5004630530255905,Business,3,376157.4622258919,0,0,0,1
1,1,0,3.6400549213560875,Health Sciences,1,356144.84767012246,4,0,0,1
1,1,1,3.522723561688409,Business,4,502322.5970247085,5,0,0,0
1,1,0,4.036690211136521,Business,2,352698.9205707662,0,0,0,1
1,1,0,4.18126380061848,STEM,2,274204.43725348276,3,0,0,1
1,1,0,3.0406194696603195,Business,1,518974.0965188441,3,0,0,0
1,1,0,3.7002993845698926,Business,1,342744.97785138706,5,0,0,1
1,1,0,2.837643357507086,Business,1,605869.4614001607,4,0,0,0
1,1,0,4.197553198276271,STEM,4,103584.08835345197,3,0,0,1
0,1,1,3.2799810138965406,STEM,3,435035.0329770161,0,0,0,0
1,1,0,3.5411150621753613,Health Sciences,4,222490.1618178934,4,0,1,1
1,1,1,4.044593473969693,STEM,1,673511.1675262239,4,0,0,0
1,1,0,3.1093533184656152,STEM,1,208603.81969144288,3,0,0,1
1,1,0,3.5899181655044674,Humanities,2,332324.77075859805,2,0,0,1
1,1,0,2.9224379210174707,STEM,2,285253.99151599413,2,0,0,1
1,1,0,3.541410119537686,Health Sciences,1,449482.14622010256,1,0,0,1
1,0,0,3.644149669654306,STEM,3,231797.25085131847,2,0,0,0
1,1,1,2.4317851092212632,STEM,2,259578.60053175912,5,0,0,0
1,1,1,3.8561252249298534,STEM,2,181283.29700275057,5,0,0,0
1,0,1,2.9472783168744603,Health Sciences,2,440637.06583811896,4,1,0,0
1,1,0,3.320236119075167,Health Sciences,3,415874.79608354985,4,0,0,1
1,1,0,3.371758732961277,STEM,4,341954.9053719949,3,0,0,1
1,1,0,2.851179231324967,Business,1,561332.5588226187,8,0,0,0
1,1,1,3.677110474720521,Health Sciences,1,130593.0997692836,3,0,0,0
1,1,0,3.527507874198504,STEM,3,212569.38361306055,1,0,0,1
1,1,0,2.835568728857904,STEM,2,863995.548053819,5,0,0,0
1,1,1,4.23004244301476,STEM,2,216998.3489201988,3,1,0,0
1,1,0,4.824511254693392,Health Sciences,1,99285.6142416374,0,0,0,1
1,1,0,3.2997306327169125,STEM,2,580420.8121150867,1,0,0,0
1,1,0,3.1465291773656947,Business,4,637907.564612457,7,0,0,0
1,1,0,3.1426790320594917,Humanities,2,376758.02744386526,3,0,0,1
1,1,0,3.4313055788438684,Health Sciences,3,260978.1767617852,3,0,0,1
1,1,0,3.766162198315963,STEM,3,362302.73132500413,4,0,0,1
1,1,0,3.0714153548008523,Health Sciences,1,415848.4523195836,2,0,0,1
1,1,0,3.860114148159409,STEM,2,494859.2836932359,1,0,0,1
1,1,0,3.4612400391820084,Humanities,2,158630.6421890886,2,0,0,1
1,1,0,3.6491997210986895,Humanities,2,368969.7002773,5,0,0,1
1,1,0,3.449278110411402,Business,4,225912.18784963948,1,1,0,1
1,1,1,2.733843953941334,STEM,1,104994.10034722401,4,0,0,0
1,1,0,3.739002948606304,STEM,4,139964.6927766436,7,0,0,1
1,1,0,4.014453799774892,STEM,2,163068.01553413866,0,0,0,1
1,1,1,4.252922286466883,Business,3,814748.3372128796,3,0,0,0
1,1,0,3.490502525817183,Health Sciences,3,243911.6239075211,6,1,0,1
1,1,1,2.5387897588674684,Humanities,3,221454.22043771035,1,0,0,0
1,1,1,3.5077546746018644,STEM,4,282303.7926986561,6,0,0,0
0,1,0,3.4116325264720087,STEM,4,365414.51442215213,4,0,0,0
1,0,0,3.848630149368206,STEM,1,251818.6245572411,2,0,0,0
1,1,0,2.8258594636026952,STEM,3,821371.8025775542,3,0,0,0
1,1,1,3.1498835643407372,STEM,1,369113.3728657455,0,0,0,0
0,1,1,3.046055054770051,STEM,3,128705.28131640934,2,0,0,0
1,1,0,3.321166508911117,Humanities,4,216835.32099391075,2,0,0,1
1,1,0,3.409013316255606,STEM,1,123848.34964772197,2,0,0,1
1,0,0,3.093232651446088,Business,1,369230.5841437167,1,0,0,0
1,1,1,3.9988055738584998,Business,1,176402.38006200123,2,0,0,0
1,1,0,4.265799522542679,Health Sciences,4,627171.736687693,2,0,0,0
1,1,0,2.319489028456184,STEM,2,109199.06765789624,9,1,0,0
1,1,0,3.5954098377198163,Business,2,295491.40000545204,2,0,0,1
1,1,0,4.609644858989306,Health Sciences,2,555341.1571057586,0,0,0,0
1,1,0,3.5709980117313243,Humanities,3,608474.1521644134,4,0,0,0
1,0,1,3.0299498889359326,Humanities,3,282036.3086751399,6,0,0,0
1,1,1,3.177849233108237,STEM,3,266911.9058391966,3,0,0,0
0,1,0,4.107825714151564,Humanities,3,227935.53541945945,9,0,0,0
1,1,0,3.2325999936031624,Humanities,4,310224.9594069824,4,0,0,1
1,1,0,3.9908942159479306,STEM,1,476546.5212130425,2,1,0,1
1,1,0,3.4071811173447757,Health Sciences,1,142087.49967528958,4,0,0,1
1,1,0,3.2259703226481435,Business,2,356414.71761087724,3,0,0,1
1,1,0,4.091822376202394,Business,4,705859.4331041834,3,0,0,0
1,1,0,4.679440618195324,Business,3,155091.82775624166,3,0,0,1
1,1,0,3.7268627951294446,STEM,1,410986.93487271393,1,0,0,1
1,1,1,3.916662200633287,STEM,4,116651.63472704994,1,0,0,0
1,1,0,4.26105990809291,Health Sciences,4,587857.6804573404,3,1,0,1
1,0,0,3.32036153336026,STEM,3,134199.0922297228,5,0,1,0
1,1,0,3.514917852048976,Business,2,418449.4938542685,2,0,0,1
1,1,1,2.8770592468080536,Humanities,1,250781.03621600446,3,0,0,0
1,1,0,3.806392558016902,Humanities,2,294394.91221822466,1,0,0,1
0,0,0,3.0101840951874768,Health Sciences,3,285673.6753684627,4,0,0,0
0,1,1,4.026633453330382,Health Sciences,1,659768.487998422,7,1,0,0
1,1,1,3.1794408012578836,Humanities,2,296559.51685861987,4,0,0,0
1,1,0,3.6625474175479793,Business,3,467581.54614926927,1,0,0,1
1,1,0,3.3969998723176054,STEM,2,330562.30891727714,2,0,0,1
1,1,1,4.301573857728655,STEM,3,302135.35265691095,3,0,0,0
1,1,0,4.456977884935629,Business,4,275339.1459595912,6,0,0,1
1,1,0,3.799591008401471,Business,3,203584.10238523845,4,0,0,1
1,1,0,3.2755341832659135,Humanities,4,211506.35884895403,5,0,0,1
1,1,1,4.077352451928402,Health Sciences,2,185211.0300575246,2,0,0,0
1,0,0,4.146800086542108,STEM,2,398570.0744798143,1,0,0,0
1,1,0,2.746942446901184,Humanities,2,169050.00335410127,0,0,0,1
1,1,0,3.7661856753198295,Health Sciences,4,252701.40059902446,1,0,0,1
1,1,0,3.799285093161364,Health Sciences,4,194027.7811745074,3,0,0,1
1,1,0,3.315584233566626,Business,4,187486.87014602206,4,0,0,1
1,1,1,3.371276007873957,STEM,1,253694.42936787911,3,0,0,0
1,1,1,2.946286335251793,STEM,4,368174.54138397495,1,0,0,0
1,1,0,3.742229781335225,Humanities,4,452502.0709480191,1,0,0,1
1,1,1,3.0538414103505493,Humanities,1,73438.69420181823,2,0,0,0
1,1,0,3.8541808083649447,Humanities,1,153140.32667966964,3,0,0,1
1,1,0,3.64691656833728,STEM,4,184942.4753771218,3,0,0,1
1,1,0,2.8189502787230056,STEM,2,286992.5707477975,2,0,0,1
1,1,0,3.224418112885557,STEM,2,283073.01966395666,6,0,0,1
1,1,0,4.206357754782618,Business,2,461270.3562408356,3,0,0,1
1,0,0,3.013278907449308,Health Sciences,3,190700.43003704055,5,0,0,0
1,0,0,3.1358697050530404,STEM,1,425022.693268663,2,0,0,0
1,1,0,3.4856522499187816,STEM,4,204144.9548980082,1,0,0,1
1,1,1,3.9563102100034073,Health Sciences,3,110751.52815247119,1,0,0,0
1,1,0,3.418335860684328,Humanities,4,340841.97593358933,4,1,0,1
1,1,0,2.7847026913250468,STEM,1,393714.3251801473,2,0,0,1
0,1,0,4.073433958954082,STEM,1,301557.35263101954,3,0,0,0
1,0,0,4.724757494353472,STEM,3,246550.82795985581,2,0,0,0
1,1,0,3.3504435104290935,Humanities,4,205014.67437333378,3,0,0,1
1,1,0,3.896204313649161,Health Sciences,3,151601.4568442239,7,1,0,1
1,1,0,3.0886055501414615,Business,4,180036.75926333864,0,0,0,1
1,1,0,4.1222598204141745,Business,3,727000.1286782379,6,0,0,0
1,1,0,4.150036131494384,Humanities,2,560659.994279627,2,0,0,0
1,1,0,3.8880154161119664,STEM,2,279161.98886781937,3,0,0,1
1,1,0,3.9367569271555656,Health Sciences,3,481446.460628844,2,0,0,1
1,1,1,4.065497691594933,Business,3,126063.70980447851,6,0,0,0
1,1,0,3.5377620734768964,Humanities,4,178921.7291380406,4,0,0,1
1,1,0,2.452298174967861,Humanities,2,181318.23538940118,4,0,0,0
1,1,0,3.457629840236299,Business,1,238628.69750778037,1,0,0,1
1,1,1,3.174092560294276,STEM,2,224479.68860973677,4,0,0,0
1,1,0,3.3151699387201763,Humanities,2,422841.02321578574,0,0,0,1
1,1,1,3.6953905043428557,STEM,2,342582.8362073943,5,0,0,0
1,1,1,3.670226192632224,Health Sciences,3,220386.32090500527,5,0,0,0
1,1,0,2.8182603199012433,Health Sciences,2,203419.9697526111,2,0,0,1
1,1,1,3.845469465284198,Humanities,1,295770.7837341587,3,0,0,0
0,1,0,3.498169349025666,STEM,3,362478.20087722695,3,0,0,0
1,1,1,3.9692969461656014,STEM,3,381357.9474723235,4,0,0,0
1,1,1,3.658041706133925,Health Sciences,2,97048.05788598275,4,0,0,0
1,1,0,3.6931766248283484,Health Sciences,3,431906.60620182054,3,0,0,1
1,1,0,3.3023122627606476,STEM,4,375101.4638566356,3,0,0,1
1,1,0,3.8768681654627675,STEM,1,281836.4450160459,0,0,0,1
1,1,0,3.8501199976270297,STEM,3,228904.9736599323,9,0,0,1
1,1,0,3.629126608956592,Business,4,241029.75978313558,4,0,0,1
1,1,0,3.7049925182974994,Health Sciences,1,326125.31664305535,2,1,0,1
1,1,0,3.7123212763322457,STEM,3,296630.3776726217,0,0,0,1
1,1,0,3.5279573225179446,STEM,3,371737.0407834942,1,0,0,1
1,1,0,3.0584622767243532,STEM,3,223475.1736015167,3,0,0,1
1,1,0,2.969621383306112,Business,3,457721.78965451097,5,0,0,1
1,1,0,3.2368209157679093,Health Sciences,4,157730.09493609535,2,1,0,1
0,1,0,4.267739088649598,Health Sciences,1,352363.8744968067,3,0,0,0
1,1,0,4.084744457297455,Humanities,1,126470.10075468846,1,0,0,1
1,1,0,3.9530116489615814,Humanities,3,783141.2768041915,5,0,0,0
1,1,1,2.625260362297699,Humanities,1,683461.1189751006,2,1,0,0
1,0,0,3.7970260246500875,STEM,1,311836.30304396455,3,0,0,0
1,0,1,3.9419491813197514,Health Sciences,1,190517.0249961674,3,0,0,0
1,1,0,3.6713291058641446,STEM,4,262309.29498917056,3,0,0,1
1,1,0,3.740874774646982,Humanities,3,403365.23265478906,2,0,0,1
1,1,1,3.781920315123302,Health Sciences,2,308123.31817717484,2,1,0,0
1,1,0,3.717492869390863,STEM,1,452185.6274768427,4,1,0,1
1,0,1,3.5885571282479676,Health Sciences,1,268858.7800894831,6,0,0,0
1,1,1,3.0527836275216997,Humanities,4,159675.30323273333,2,1,0,0
1,1,0,3.4190794160383016,STEM,4,483155.38809138123,2,0,0,1
1,1,1,2.5263314767176652,STEM,2,239007.36304779883,2,0,0,0
1,1,0,3.309630108993853,Business,1,236957.0434843437,5,0,0,1
1,1,0,3.89219169054902,Humanities,3,345895.65224895993,1,1,0,1
0,1,0,2.9465229858023987,STEM,1,409713.18440822547,2,1,0,0
1,1,0,3.083622313993115,Health Sciences,3,258407.18735562536,0,0,0,1
1,1,0,2.844490714204823,Business,1,424790.22421010816,3,0,0,1
0,1,0,4.602972311408434,Business,1,482508.2426726776,3,1,0,0
1,0,0,4.089415600723043,STEM,2,360237.5389900634,1,0,0,0
1,1,1,3.2785052896383804,Health Sciences,3,177156.85189949072,5,0,0,0
1,1,0,4.734984605039647,Health Sciences,1,120073.23066321708,5,0,0,1
1,1,0,4.119776989058868,Business,4,238641.07882821112,5,0,0,1
1,1,0,4.019454544279072,Humanities,1,551166.424027974,2,0,0,0
1,1,0,3.4660420632075,Health Sciences,2,488127.96170010214,1,0,0,1
1,1,1,3.867811294483739,Business,3,269101.52563202207,2,0,1,0
1,1,0,3.904493418844883,Health Sciences,4,264896.54894096276,0,0,0,1
1,1,0,2.831030057932715,STEM,4,255184.749452864,2,0,0,1
1,1,1,3.6588491834865353,Business,4,282324.4977058911,3,0,0,0
1,1,0,3.4596027319552567,STEM,3,433443.8252297796,2,0,0,1
1,1,1,3.5126435033409713,STEM,2,94838.11664954375,6,0,0,0
1,1,0,3.937333471470958,Health Sciences,2,547263.7430247656,2,0,0,0
1,1,0,4.1692386007230535,Humanities,4,302312.2103880724,2,0,0,1
1,1,0,2.896217166855722,Business,4,520333.29081968794,3,0,0,0
1,1,0,3.082082547331891,STEM,4,458925.7313900482,4,0,0,1
1,1,0,3.4097494168993467,Humanities,1,258344.80610608397,3,0,0,1
1,1,0,3.99667793498988,Humanities,1,321340.6304820284,2,0,0,1
1,0,0,3.255987175159569,STEM,2,96261.59193304655,0,1,0,0
1,1,1,3.0364085109369956,Humanities,2,965388.0785408,3,0,0,0
1,1,0,3.661366357871198,Humanities,4,197327.6207559033,3,0,0,1
1,1,0,2.4395274406153042,STEM,4,113869.5664083115,1,0,0,0
1,1,1,3.5415379245706675,Business,4,137673.8913384704,3,0,0,0
1,1,0,4.650876518760313,Humanities,3,237322.57377568245,4,0,0,1
0,1,0,3.727553304992428,STEM,2,485939.7092912733,4,0,0,0
1,1,0,3.104808769905355,STEM,3,257227.7167424539,3,0,0,1
1,0,0,3.550102444868587,STEM,3,103984.18080455577,3,0,0,0
1,1,0,3.129797220551012,STEM,3,210189.97465123708,4,0,0,1
1,1,0,2.8594259813519125,STEM,1,331297.06622406386,5,0,0,1
1,1,0,3.310875255435648,STEM,1,191206.708686887,4,0,0,1
1,1,0,3.0988263151929796,Business,1,226879.02621345574,6,0,0,1
1,1,0,4.191260565148242,Health Sciences,1,553132.9772920886,2,0,0,0
0,1,0,4.454487097745721,STEM,1,307683.26346184424,3,0,0,0
1,1,0,3.4417550772025387,Health Sciences,4,287298.9224076183,4,0,0,1
1,1,0,3.321291628799395,STEM,4,236718.50276634586,5,0,0,1
1,1,0,3.6771064371818016,STEM,1,308122.0282423869,2,0,0,1
1,1,0,3.136595289771477,STEM,3,219192.51484445683,2,0,0,1
1,1,1,3.4082321501759933,STEM,3,190452.84833218573,4,0,0,0
1,1,0,3.530604942497297,STEM,3,177187.9097099357,1,0,0,1
1,0,0,3.1304303256556096,STEM,1,219114.7024548281,5,0,0,0
1,1,0,2.9231731400205287,Health Sciences,3,265065.40747288393,2,0,0,1
1,1,1,3.661087778337745,Humanities,3,159939.73388032845,1,0,0,0
1,1,1,3.7125550964439173,Health Sciences,4,456889.27757165924,0,0,0,0
1,0,1,3.03004883899389,Business,1,178100.18938157766,4,0,0,0
1,1,0,3.731841669292655,Humanities,1,350525.33279021183,3,0,0,1
1,1,1,3.37897275855461,STEM,2,356087.83940221695,3,0,0,0
1,0,0,3.2690324768197785,STEM,2,127410.34260508281,3,0,0,0
1,1,0,2.6104927856582707,STEM,4,119984.42877094446,3,0,0,1
1,0,0,3.8451498811696805,STEM,2,133030.69936283168,0,0,0,0
1,1,0,3.363542886051403,Health Sciences,4,451011.2379689419,7,0,0,1
1,1,0,3.390841887565351,Business,3,555338.693158838,3,0,0,0
1,1,0,3.7943154744185787,Business,1,314785.78109249595,2,0,0,1
1,1,0,4.183172641523179,Health Sciences,2,222519.3666718667,3,0,0,1
1,1,1,3.2511242550084107,Humanities,1,91650.04962980392,4,0,0,0
1,1,1,3.5913116960004476,Humanities,1,125493.15515596503,8,0,0,0
1,1,0,4.337974764461866,Health Sciences,4,226306.67358580325,2,0,0,1
1,1,0,3.6541878008227378,Health Sciences,2,759072.5581492924,1,0,0,0
1,1,0,3.3643562817294015,STEM,2,299044.7389207436,5,0,0,1
1,1,0,4.4107865931497665,STEM,1,82035.27752595606,4,0,0,1
0,0,0,2.851044097563771,Humanities,1,348572.24962863635,6,0,0,0
1,0,0,3.6489408489706863,Health Sciences,3,338109.8227969018,1,1,0,0
1,1,0,3.265686761008431,Business,3,228272.65813223502,1,0,0,1
1,1,0,3.8053027630033402,Health Sciences,2,222389.72359804247,5,0,0,1
1,1,0,3.7464492558094227,Health Sciences,2,196423.90640846515,3,0,0,1
1,1,0,1.7319164047797666,STEM,2,209111.27418121198,4,0,0,0
1,1,0,4.016200114445116,Health Sciences,4,305366.53140403936,6,0,0,1
1,1,0,3.666583608603084,Business,4,303815.91931819863,0,0,0,1
1,1,0,4.2519400865775445,Health Sciences,4,523461.7909626362,2,0,0,0
1,1,0,3.004094930581214,Business,3,555602.4701476969,4,0,0,0
1,0,0,3.3758770756283587,STEM,3,190945.75923476336,6,0,0,0
1,0,0,3.901388573759686,Business,1,1189886.650670451,2,0,0,0
1,1,0,3.4416821431283,Humanities,2,552653.5216510528,1,0,0,0
1,1,0,3.4744626656871307,Business,3,319310.9278487298,7,0,0,1
1,1,0,2.1926552342269847,Humanities,4,182998.41845729027,2,0,0,0
1,1,0,3.3926800613581958,STEM,4,1418240.4579249287,5,0,0,0
1,1,0,4.184316543162714,STEM,4,107032.93910336246,3,0,0,1
1,1,0,3.880383193025119,Business,2,304701.3398212353,2,0,0,1
1,1,0,3.5204674581223876,Business,3,291639.26204732223,3,0,0,1
1,1,0,3.0003422561000526,Health Sciences,3,114808.09980598214,1,0,0,1
1,1,0,3.3997898846501218,Humanities,4,297269.6617201445,3,0,0,1
1,1,0,2.6414382142923802,Business,4,222883.41720033326,4,0,0,1
1,1,0,3.966019088016121,Business,2,227101.43520510354,0,0,0,1
1,1,0,3.8319044988189046,STEM,4,247895.62412856932,3,0,1,1
1,1,1,3.3719747411297245,Business,2,109431.41145140278,3,0,0,0
1,1,1,4.111398719317785,STEM,2,156267.69466075982,3,0,0,0
1,0,1,3.9749805685943937,Humanities,3,571642.4111291505,3,0,0,0
1,1,0,3.924926392161827,Health Sciences,3,499168.14871692297,4,0,0,1
1,1,0,4.2197054329162595,Business,2,204634.16364505826,5,0,0,1
1,1,0,4.486630956218512,Business,1,237133.5819384515,4,1,0,1
1,1,1,3.2837027703354615,Humanities,1,316370.11555094155,3,1,0,0
1,0,0,3.282212188701132,Business,2,1019681.979939583,1,1,0,0
1,1,0,3.195295173831024,Humanities,1,220646.1579922582,5,0,0,1
1,0,0,3.0232109735134216,Business,1,222665.0489833928,3,0,0,0
1,1,0,2.758045451236928,Business,3,239095.39609850774,5,0,0,1
1,1,0,3.275000772684153,STEM,4,504456.48885459825,1,0,0,0
1,1,0,3.420116274003859,STEM,4,268803.01077490015,2,0,0,1
1,1,1,2.926375397229589,Humanities,2,238297.9327877436,5,1,0,0
1,1,0,3.2678274459881127,Health Sciences,4,225688.23993508532,4,0,0,1
1,1,1,3.3861355878183863,STEM,4,348757.6732223177,3,1,0,0
1,1,1,3.3065943047907385,STEM,4,244063.23793193954,3,0,0,0
1,1,0,3.2378280477453822,STEM,1,109272.12033567471,2,0,0,1
1,1,0,3.3047597331646608,Humanities,4,372854.03256931476,2,0,0,1
1,1,0,3.699698014612868,Business,2,360938.01944430155,4,0,0,1
1,1,0,3.1637699207501933,Health Sciences,3,285823.06814236153,4,0,0,1
1,0,1,2.8721250140127195,STEM,4,208328.31674179356,1,0,0,0
1,1,0,3.507343703696796,STEM,1,226301.93506460974,3,0,0,1
1,1,0,3.11133683053438,STEM,1,243622.67587411028,1,0,0,1
0,1,0,3.669695914191276,Humanities,2,478089.6181850406,3,1,0,0
1,1,0,2.773246817714633,STEM,1,393471.70848455554,4,0,0,1
1,1,0,3.6982899459716534,Business,4,110184.46999640379,5,0,0,1
1,1,0,3.5001186575604244,Health Sciences,1,257602.25907687776,6,0,0,1
1,1,1,3.80345986267098,STEM,4,221884.89911380454,0,0,0,0
1,1,0,2.599716403886544,Humanities,1,422134.15184913354,2,0,0,1
1,1,1,2.576934330808575,STEM,3,256011.95522029875,0,1,0,0
1,1,0,3.464343362572825,Health Sciences,4,629829.9345729493,3,0,0,0
1,1,0,2.9305069660107916,STEM,2,318855.18371284637,2,0,0,1
1,1,0,3.228177140245098,STEM,2,131858.6276275268,3,0,0,1
1,1,0,4.22316157407148,STEM,4,216472.51790312555,3,0,0,1
1,0,0,3.5971019942345044,Health Sciences,3,142391.78939103064,4,1,0,0
1,1,1,3.0125486909300627,STEM,3,507104.5775922573,0,0,0,0
0,1,1,3.60572917959358,Health Sciences,2,178395.93742596018,3,0,0,0
1,1,1,3.444114044378614,STEM,2,161802.25533357234,4,0,0,0
0,1,0,3.5231730861550816,STEM,3,110441.17049761914,3,0,0,0
1,1,1,4.757490919775545,STEM,2,334034.3853765189,1,0,0,0
1,1,0,3.8850721192242204,Health Sciences,2,249198.76978026217,4,0,0,1
1,0,0,2.6259573614874077,Business,3,356842.4281212584,2,0,0,0
1,1,0,4.809715359763411,Business,3,121769.05671105195,4,0,0,1
1,0,0,3.211953627413703,Business,4,267453.65994940867,2,0,0,0
1,1,0,3.535668970449195,STEM,2,647268.5433829505,4,0,0,0
1,1,0,2.75580450983631,STEM,1,226538.88401459777,3,0,0,1
1,0,0,3.433506403221414,Health Sciences,1,295882.34119875036,2,0,0,0
1,1,1,3.0800409715952783,Humanities,4,956653.8813931034,2,0,0,0
1,1,0,3.2800685175837017,Business,1,218554.9552116617,2,0,0,1
1,1,1,3.240970097837266,Health Sciences,4,385179.74928851466,4,0,1,0
1,1,0,4.085593642064331,Business,2,296678.6762431502,2,0,0,1
1,1,0,3.5708333314095264,STEM,4,497582.2166884375,4,0,0,1
1,1,0,4.410684807580974,Business,3,169945.66925083793,5,0,0,1
1,1,0,3.3909120709584464,STEM,2,218543.79312695813,3,0,0,1
0,1,0,3.5613798850089324,Health Sciences,1,607106.9280490046,3,0,0,0
1,1,0,3.546602819914115,STEM,3,343072.9160802032,6,0,0,1
1,0,0,4.061164175328612,STEM,1,211654.8443578123,6,0,0,0
1,1,0,4.092601889926399,Health Sciences,4,220413.85981604486,3,0,0,1
1,1,0,3.1937561189243726,Health Sciences,2,236894.11282259054,5,0,0,1
1,1,0,3.125471714732438,Business,3,296544.68941213464,5,1,0,1
1,1,0,3.350915305378192,Health Sciences,4,203601.1470108494,3,0,0,1
1,1,0,3.2324245756192482,Business,2,665613.7637121725,4,0,0,0
1,1,0,2.683285696460752,Humanities,2,367380.73285689106,3,0,0,1
1,1,0,3.5398472514054014,Business,4,264157.7925858989,9,1,0,1
1,1,0,3.7554681505471783,Humanities,1,220986.07719745618,3,0,0,1
1,1,0,3.627057038633803,Business,4,402637.4575433491,1,0,0,1
1,1,1,3.415158779957511,Business,3,495018.707369335,6,0,0,0
1,1,0,3.720625887162509,Health Sciences,2,324010.8247325732,1,0,1,1
1,1,1,4.372428410084454,STEM,1,396211.8651058786,1,0,0,0
1,1,0,3.6699586166353146,Humanities,2,185008.21167308497,2,0,0,1
1,1,0,3.2705948619881835,Humanities,1,157102.8336963393,4,0,0,1
1,1,0,3.7771200539889365,Business,4,322990.72678552807,2,0,0,1
1,1,0,4.109766222455249,Humanities,3,320758.28971161996,4,0,0,1
1,1,0,3.813311489245661,Humanities,2,332049.3577169521,0,0,0,1
1,1,0,4.013965818831715,STEM,3,341396.95158380544,4,1,0,1
1,1,0,3.2771671984167114,STEM,1,134617.5046176331,5,0,0,1
1,1,0,3.620553789844441,Health Sciences,1,279401.7903318966,6,1,0,1
1,1,0,4.604872161604901,STEM,3,562665.2457525717,4,0,0,0
1,1,0,3.731173152509283,Business,4,349894.5016268605,3,0,0,1
1,1,0,3.0721734314412172,Business,4,285654.9582413149,4,1,0,1
0,1,0,3.2451612062909607,Health Sciences,4,531387.3060141425,4,0,0,0
0,1,0,4.407767682354183,Humanities,4,227850.5438861301,1,0,0,0
